Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1881,14.94997536,15.35946701,16.08334947,15.636575960000002,16.04402736,14.443295299999997,12.87971743,8.30759908,8.97123261,9.88244637,11.293041759999998,13.485563775000001
1882,15.317755379999998,15.76177658,15.924611899999999,15.864875780000002,15.55441962,13.390391619999999,11.38711144,10.78217076,8.341632829999998,10.06078484,11.412456369999997,13.745029785000002
1883,15.14070444,16.15870438,15.82091102,15.76739367,15.13091576,13.83144853,12.335071059999999,8.3641427,8.80056129,10.022577309999999,11.179048089999998,13.585332255
1884,15.16863793,15.616274609999998,15.80729136,15.53470687,15.14824151,13.725593969999998,12.23424721,10.562213620000001,8.793341289999999,10.045999049999999,11.990826869999998,13.485563775000001
1885,15.263023480000001,15.589371199999999,15.873864650000002,15.607682319999999,14.94373631,13.6669276,12.495454500000001,10.44420388,8.93698113,10.068480729999997,12.017452029999998,13.485563775000001
1886,15.23075494,16.110821639999998,16.10928401,15.5885514,14.897907060000001,13.146102029999998,12.039405,8.61038898,8.880950129999999,9.86857162,11.293041759999998,13.585332255
1887,15.264587160000001,15.60574051,15.863557409999999,15.773387490000001,14.435787939999999,13.711605309999998,12.13073138,10.276479870000001,9.061116329999999,9.907860879999998,11.635184909999998,13.485563775000001
1888,15.12165478,15.41724393,15.758510399999999,15.55285202,15.19630526,13.9484149,11.67288728,10.41637218,9.03685874,9.816285449999999,11.293041759999998,13.187488255
1889,15.124873269999998,15.487369789999999,15.62806291,15.80629389,14.201354890000001,13.63061885,12.1397897,10.34713019,8.865994059999998,9.826539229999998,11.824715119999997,13.485563775000001
1890,15.375873379999998,15.752746589999997,15.955453760000001,15.968378130000001,15.31747101,13.99157865,12.22578523,9.81804266,8.93282202,9.998930899999998,11.293041759999998,13.602532265
1891,14.771530900000002,15.357879409999999,15.96268294,16.450139439999997,15.52884839,13.928594709999999,11.073168299999999,8.83226343,8.92376214,9.93406593,11.990826869999998,13.585332255
1892,15.16346519,15.65918507,15.37380299,16.00766382,15.21221076,13.10182375,11.56353873,8.88286123,9.02025896,9.88981403,11.293041759999998,13.745029785000002
1893,15.10533319,16.19567725,15.524044500000002,15.819560849999998,15.1524232,13.818395919999999,12.77144758,10.04869638,9.00896086,9.869313349999999,11.943738219999997,13.745029785000002
1894,15.115985389999999,15.612163139999996,15.80816879,16.44973491,14.7633779,12.931620189999999,11.38747243,10.51195809,8.41842461,9.711095499999999,11.279316109999998,13.421581445000001
1895,15.575159359999997,15.762724709999997,15.47337362,16.21550684,14.89701778,13.788285549999998,11.91307754,8.77630474,8.95937652,10.187446379999997,11.990826869999998,14.004944885000002
1896,15.137356270000002,15.454757949999998,15.94906323,15.3851353,14.706493420000001,13.215888859999998,11.257241969999999,10.26947808,8.56293918,9.867482889999998,11.706019219999996,13.485563775000001
1897,15.37515213,15.650752749999999,15.469993850000002,15.05929692,14.15223594,13.16382099,11.46518527,10.268403280000001,8.437199479999999,9.945731799999997,11.293041759999998,13.485563775000001
1898,15.312983289999998,16.006454629999997,15.499300510000001,15.03444072,14.15725677,12.84459657,10.87812956,9.59944593,8.17662743,9.61570355,11.415586179999998,13.341961715000002
1899,15.02870424,15.706906109999998,15.422456100000002,15.10622598,14.62759291,13.255247409999999,11.22994891,8.59185946,8.61125306,8.962976389999998,11.552005609999998,13.758027635000001
1900,14.69636058,15.784882629999998,15.223746840000002,15.46457303,14.556592810000001,12.95968177,11.3772302,10.049829390000001,8.36234096,9.526928979999997,11.674379849999998,13.485563775000001
1901,15.575159359999997,15.777500969999998,15.42844689,16.231624439999997,14.78657001,13.22140657,11.759430559999998,10.334836200000002,8.5313498,10.01626812,11.293041759999998,13.705241975000002
1902,15.073903260000002,15.48187326,16.31466553,15.385967749999999,14.3509888,13.26349024,11.742143489999998,9.885060450000001,8.363602369999999,9.852097219999997,11.731857179999999,13.963360575000001
1903,15.431087699999999,15.593026899999998,15.51913566,15.25846024,14.15952677,13.032199199999999,11.56972641,9.61183683,8.579287149999999,9.888949189999998,11.279316109999998,13.485563775000001
1904,15.210469199999999,15.663373449999998,15.686489100000003,14.74736566,14.18540104,12.859704199999998,11.180013,9.41044709,8.46036494,9.980033029999998,11.293041759999998,13.678613165000002
1905,15.219937730000002,15.628806,15.582208649999998,15.088677099999998,14.226518570000001,12.827142279999999,11.64081764,9.350902470000001,8.04743304,10.059117239999999,11.293041759999998,13.485563775000001
1906,15.188717830000002,16.12656818,15.615035080000002,15.209447319999999,14.50581999,13.283068259999999,11.95043398,9.31522208,8.41439379,9.98799244,11.617768749999998,13.585332255
1907,15.07638776,15.339708619999998,15.97202407,15.4000263,13.9940188,12.902206559999998,11.67690436,9.92045185,8.927368329999998,9.98526519,11.412456369999997,13.752336225000002
1908,15.341460340000001,15.549321549999998,15.59107216,15.386120589999999,14.272462990000001,12.922466719999997,11.489472469999999,9.572349800000001,8.12222517,9.8899306,11.930720199999998,13.784001735
1909,15.342340060000002,16.22658131,15.78395578,15.554813979999999,14.40628254,13.392608049999998,11.90929429,9.96093053,8.21176595,10.197145160000002,11.990826869999998,13.820530575000001
